timestamp_local,da_price,rt_price,load_mw,wind_mw
1/1/2025 0:00,9.26,11.56,41557.4,13428.2
1/1/2025 1:00,14.74,20.9,36987,7525.6
1/1/2025 2:00,2.23,15.89,37084.2,12334
1/1/2025 3:00,11.35,24.18,37629.9,5589.3
1/1/2025 4:00,-3.43,1.13,37010,14215.3
1/1/2025 5:00,21.93,19.74,40938.2,8338.9
1/1/2025 6:00,25.6,22.91,46404.1,8626.9
1/1/2025 7:00,37.44,35.47,49565,7140.9
1/1/2025 8:00,46.56,71.13,52785.7,5023.7
1/1/2025 9:00,36.97,37.38,53310,5847.9
1/1/2025 10:00,43.53,50.55,56180.8,4423.2
1/1/2025 11:00,40.36,44.1,55704.5,7660.8
1/1/2025 12:00,46.27,37.37,54093.4,4208.2
1/1/2025 13:00,43.04,47.34,55114,2209.1
1/1/2025 14:00,49.84,43.88,54462.4,1952.1
1/1/2025 15:00,48.42,39.9,53634.8,1883.5
1/1/2025 16:00,41.69,47.04,56859.1,5489
1/1/2025 17:00,46,34.62,56555.7,2580.1
1/1/2025 18:00,53.84,61.74,60313.4,5277.5
1/1/2025 19:00,58.08,63.21,58909.8,5289.8
1/1/2025 20:00,45.97,57.35,57213.1,5243
1/1/2025 21:00,39.58,43.9,53544.4,7128.7
1/1/2025 22:00,33.69,25.09,51838.7,6772.4
1/1/2025 23:00,34.47,44.5,45442.3,1988.2
1/2/2025 0:00,17.11,27.6,40892.8,6135.1
1/2/2025 1:00,9.03,17.07,37724.2,8931.1
1/2/2025 2:00,7.67,14.27,36968.2,15798
1/2/2025 3:00,-8.2,-21.5,37184.3,16257.5
1/2/2025 4:00,14.24,21.94,39397.1,4089.1
1/2/2025 5:00,25.08,13.84,42867.1,6302
1/2/2025 6:00,41.05,35.46,48841.8,3507.5
1/2/2025 7:00,24.65,17.16,49562.9,13343
1/2/2025 8:00,30.97,16.85,52248.2,9952.7
1/2/2025 9:00,34.93,36.53,53482.8,6855.5
1/2/2025 10:00,40.63,40.35,55943.6,5819.4
1/2/2025 11:00,38.52,50.47,56309.9,9263.2
1/2/2025 12:00,36.16,47.01,53970.9,7956.2
1/2/2025 13:00,34.24,35.83,52594.9,7297.7
1/2/2025 14:00,45.24,52.33,52841.5,5107
1/2/2025 15:00,51.41,50.47,55828.4,3502.4
1/2/2025 16:00,51.7,50.71,57514.9,5872.7
1/2/2025 17:00,45.02,46.15,58863,6256.7
1/2/2025 18:00,46.61,45.25,58165.2,4233.7
1/2/2025 19:00,52.64,54.55,59458.4,4249.1
1/2/2025 20:00,43.71,49.68,57775.3,8993
1/2/2025 21:00,32.3,21.32,54892,12380.7
1/2/2025 22:00,40.6,36.93,51512.1,4503.4
1/2/2025 23:00,34.33,41.31,45976.1,5980.6
1/3/2025 0:00,17.22,12.23,42125.7,8316
1/3/2025 1:00,13.66,8.86,38204,9187.2
1/3/2025 2:00,15.43,24.57,36823.9,5973.2
1/3/2025 3:00,-4.05,-10.71,37508.1,17775.7
1/3/2025 4:00,12.67,16.57,37653.5,9136.7
1/3/2025 5:00,13.39,14.74,42160.2,9374.2
1/3/2025 6:00,8.51,16.5,45911.2,15670.2
1/3/2025 7:00,35.93,35.34,49375.9,5504.5
1/3/2025 8:00,32.02,24.91,52672.8,6067
1/3/2025 9:00,51.52,45.65,56753.3,3333
1/3/2025 10:00,37.91,52.81,54016.3,5000.3
1/3/2025 11:00,55.93,51.13,56208.2,2548.1
1/3/2025 12:00,35.21,29.82,51957.3,6462.3
1/3/2025 13:00,46.85,42.7,53385.9,5238.5
1/3/2025 14:00,44.14,41.7,54287.4,3673.1
1/3/2025 15:00,46.09,42.42,55857.6,3919.7
1/3/2025 16:00,50.23,55.31,57591,5861.3
1/3/2025 17:00,55.97,56.88,59351.2,2601.1
1/3/2025 18:00,49.65,44.34,58757.3,5059.8
1/3/2025 19:00,45.16,51.66,58555.3,6821.9
1/3/2025 20:00,52.89,55.43,58967.1,2423.1
1/3/2025 21:00,47.79,59.73,54447,7973.3
1/3/2025 22:00,30.8,33.65,48909,2972.3
1/3/2025 23:00,20.2,19.05,44518.9,6389.9
1/4/2025 0:00,22.31,20.48,37711.9,4210.1
1/4/2025 1:00,3.47,4.78,35981.5,14064.5
1/4/2025 2:00,7.82,11.12,34188.9,4492.5
1/4/2025 3:00,7.19,7.17,35002.4,3627
1/4/2025 4:00,13.88,9.91,36024.5,8029.4
1/4/2025 5:00,13.62,19.26,39759.9,6131.4
1/4/2025 6:00,26.61,30.51,43967.8,3610.9
1/4/2025 7:00,24.95,25.12,46395.4,8542.2
1/4/2025 8:00,35.56,41.58,49986.7,2578.6
1/4/2025 9:00,42.03,41.34,50135.9,3677.8
1/4/2025 10:00,38.97,39.08,50981,4174.4
1/4/2025 11:00,30.07,35.75,50650.9,7150
1/4/2025 12:00,26.03,33.24,49031.1,8274.5
1/4/2025 13:00,39.03,44.91,50777.7,7128.1
1/4/2025 14:00,36.33,29.45,49790.8,3886.4
1/4/2025 15:00,46.36,49.74,51314.3,1376.7
1/4/2025 16:00,41.4,41.79,53361.5,4964.7
1/4/2025 17:00,31.26,34.79,54835.4,8411.1
1/4/2025 18:00,43.95,60.36,56152.6,8048
1/4/2025 19:00,46.58,44.69,55066.1,6137.7
1/4/2025 20:00,51.46,51.66,53224.5,3166.2
1/4/2025 21:00,30.4,25.34,50877.9,4628.6
1/4/2025 22:00,-0.62,-2.35,45090.7,15084
1/4/2025 23:00,26.69,20.59,41149.4,3564
1/5/2025 0:00,14.64,4.98,37391.1,4243.6
1/5/2025 1:00,-4.25,-21.85,34717.2,11298.4
1/5/2025 2:00,9.61,3.35,34471.1,6233.9
